No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
1,Gold MAX,超G1/超G10,切札勝太&カツキング －熱血の物語－,Katta Kirifuda & Katsuking -Story of Passion-,Water/Fire/Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Katta_Kirifuda_%26_Katsuking_-Story_of_Passion-,5980,52.03,0
2,Gold MAX,超G2/超G10,「正義星帝」<鬼羅.Star>,Still Justice Till The End (Kira Star),Light,DM22-EX1,https://duelmasters.fandom.com/wiki/Still_Justice_Till_The_End_(Kira_Star),980,8.53,0
3,Gold MAX,超G3/超G10,S級宇宙アダムスキー,"Adamski, S-Rank Space",Water,DM22-EX1,"https://duelmasters.fandom.com/wiki/Adamski,_S-Rank_Space",1480,12.88,0
4,Gold MAX,超G4/超G10,キャンベロ <レッゾ.Star>,Canbello (Rezo Star),Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Canbello_(Rezo_Star),980,8.53,0
5,Gold MAX,超G5/超G10,地封龍ギャイア,"Gyaia, Ground Seal Dragon",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Gyaia,_Ground_Seal_Dragon",1480,12.88,0
6,Gold MAX,超G6/超G10,龍風混成ザーディクリカ,"Zardiclica, Hybrid Winds Dragon",Light/Water/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Zardiclica,_Hybrid_Winds_Dragon",1780,15.49,0
7,Gold MAX,超G7/超G10,最終龍覇グレンモルト,"Glenmalt, Final Dragon Ruler",Light/Darkness/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Glenmalt,_Final_Dragon_Ruler",1980,17.23,0
8,Gold MAX,超G8/超G10,悪魔龍ダークマスターズ,"Dark Masters, Demon Dragon",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Dark_Masters,_Demon_Dragon",780,6.79,0
9,Gold MAX,超G9/超G10,ボルメテウス・サファイア・ドラゴン,Bolmeteus Sapphire Dragon,Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Bolmeteus_Sapphire_Dragon,980,8.53,0
10,Gold MAX,超G10/超G10,SSS級天災デッドダムド,"Dead Damned, Triple S-Rank Disaster",Water/Darkness/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Dead_Damned,_Triple_S-Rank_Disaster",1280,11.14,0
11,DueKing MAX Card,超1a/超50,将龍剣ガイアール,"Gaial, Leader Dragon Sword",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Gaial,_Leader_Dragon_Sword",1480,12.88,0
12,DueKing MAX Card,超1b/超50,猛烈将龍ガイバーン,"Gaiburn, Furious Leader Dragon",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Gaiburn,_Furious_Leader_Dragon",1480,12.88,0
13,DueKing MAX Card,超2/超50,切札勝太&カツキング －熱血の物語－,Katta Kirifuda & Katsuking -Story of Passion-,Water/Fire/Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Katta_Kirifuda_%26_Katsuking_-Story_of_Passion-,3980,34.63,0
14,DueKing MAX Card,超3/超50,「正義星帝」<鬼羅.Star>,Still Justice Till The End (Kira Star),Light,DM22-EX1,https://duelmasters.fandom.com/wiki/Still_Justice_Till_The_End_(Kira_Star),420,3.65,0
15,DueKing MAX Card,超4/超50,S級宇宙アダムスキー,"Adamski, S-Rank Space",Water,DM22-EX1,"https://duelmasters.fandom.com/wiki/Adamski,_S-Rank_Space",580,5.05,0
16,DueKing MAX Card,超5/超50,終末の監視者ジ・ウォッチ,"Ragnarok, the Watch",Water,DM22-EX1,"https://duelmasters.fandom.com/wiki/Ragnarok,_the_Watch",1280,11.14,0
17,DueKing MAX Card,超6/超50,黒神龍エンド・オブ・ザ・ワールド,Necrodragon End of the World,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/Necrodragon_End_of_the_World,220,1.91,0
18,DueKing MAX Card,超7/超50,龍風混成ザーディクリカ,"Zardiclica, Hybrid Winds Dragon",Light/Water/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Zardiclica,_Hybrid_Winds_Dragon",1280,11.14,0
19,DueKing MAX Card,超8/超50,悪魔龍ダークマスターズ,"Dark Masters, Demon Dragon",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Dark_Masters,_Demon_Dragon",500,4.35,0
20,DueKing MAX Card,超9/超50,ボルメテウス・サファイア・ドラゴン,Bolmeteus Sapphire Dragon,Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Bolmeteus_Sapphire_Dragon,320,2.78,0
21,DueKing MAX Card,超10/超50,禁時王秘伝エンドオブランド,"End Of Land, Secret Forbidden Time King",Light/Water/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/End_Of_Land,_Secret_Forbidden_Time_King",580,5.05,0
22,DueKing MAX Card,超11/超50,エンドレス・フローズン・カーニバル,Endless Frozen Carnival,Light/Water/Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Endless_Frozen_Carnival,180,1.57,0
23,DueKing MAX Card,超12/超50,終末王秘伝オリジナルフィナーレ,"Original Finale, Secret Doomsday King",Water/Darkness/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Original_Finale,_Secret_Doomsday_King",580,5.05,0
24,DueKing MAX Card,超13/超50,禁断竜秘伝エターナルプレミアムズ,"Eternal Premiums, Secret Forbidden Dragon",Water/Fire/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Eternal_Premiums,_Secret_Forbidden_Dragon",420,3.65,0
25,DueKing MAX Card,超14/超50,ザババン・ジョーカーズ,Zababan Jokers,Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Zababan_Jokers,120,1.04,0
26,DueKing MAX Card,超15/超50,カンゴク入道,Kangoku Nyudo,Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Kangoku_Nyudo,320,2.78,0
27,DueKing MAX Card,超16/超50,【マニフェスト】チームウェイブを救いたい【聞け】,【Manifest】Want to Save Team Wave【Listen】,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/%E3%80%90Manifest%E3%80%91Want_to_Save_Team_Wave%E3%80%90Listen%E3%80%91,320,2.78,0
28,DueKing MAX Card,超17/超50,禁断のモモキングダム,Forbidden Momokingdam,Darkness/Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Forbidden_Momokingdam,120,1.04,0
29,DueKing MAX Card,超18/超50,エヴォ・ルピア,Evo Lupia,Light/Water/Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Evo_Lupia,180,1.57,0
30,DueKing MAX Card,超19/超50,SSS級天災デッドダムド,"Dead Damned, Triple S-Rank Disaster",Water/Darkness/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Dead_Damned,_Triple_S-Rank_Disaster",580,5.05,0
