No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
31,DueKing MAX Card,超20/超50,黒智縫合レディオブ･ローゼルド,"Radiof Roseld, Sutured Dark Wisdom",Water/Darkness/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Radiof_Roseld,_Sutured_Dark_Wisdom",120,1.04,0
32,DueKing MAX Card,超21/超50,天災デドダム,"Deddam, Disaster",Water/Darkness/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Deddam,_Disaster",420,3.65,0
33,DueKing MAX Card,超22/超50,超法無敵宇宙合金武闘鼓笛魔槍絶頂百仙閻魔神拳銃極太陽友情暴剣R・M・Gチーム・エグザイル～カツドンと仲間たち～,"Victorage Outlaw Cosmo Alchemy Kung Fu Horn Blues Cli Byte Hell Shen Gunman Gonbutreasure Friends Cross Robin Michaelan Global, Team Exile ~Katsudon and Friends~",Light/Water/Darkness/Fire/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Victorage_Outlaw_Cosmo_Alchemy_Kung_Fu_Horn_Blues_Cli_Byte_Hell_Shen_Gunman_Gonbutreasure_Friends_Cross_Robin_Michaelan_Global,_Team_Exile_~Katsudon_and_Friends~",120,1.04,0
34,DueKing MAX Card,超23/超50,最終龍覇ロージア,"Rosia, Final Dragon Ruler",Light,DM22-EX1,"https://duelmasters.fandom.com/wiki/Rosia,_Final_Dragon_Ruler",420,3.65,0
35,DueKing MAX Card,超24/超50,魔天降臨,Upheaval,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/Upheaval,420,3.65,0
36,DueKing MAX Card,超25/超50,樹食の超人,Gourmet Giant,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Gourmet_Giant,220,1.91,0
37,DueKing MAX Card,超26/超50,ロイヤル・ドリアン,Royal Durian,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Royal_Durian,120,1.04,0
38,DueKing MAX Card,超27/超50,龍の呼び声,Call for Dragons,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Call_for_Dragons,180,1.57,0
39,DueKing MAX Card,超28/超50,真邪連結バウ･M･ロマイオン,"Bau Mad Romaion, Concatenated True Wicked",Light/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Bau_Mad_Romaion,_Concatenated_True_Wicked",500,4.35,0
40,DueKing MAX Card,超29/超50,凰翔竜機ワルキューレ・ルピア,"Walkure Lupia, Sky Lord Dragonmech",Light/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Walkure_Lupia,_Sky_Lord_Dragonmech",120,1.04,0
41,DueKing MAX Card,超30/超50,ツネキン☆ゲームス,Tsunekin ☆ Games,Water/Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Tsunekin_%E2%98%86_Games,120,1.04,0
42,DueKing MAX Card,超31/超50,T・T・T,The Triple Three,Light/Water/Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/The_Triple_Three,580,5.05,0
43,DueKing MAX Card,超32/超50,霊宝ヒャクメ－4,"Hyakume-4, Spirit Treasure",Light/Darkness/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Hyakume-4,_Spirit_Treasure",120,1.04,0
44,DueKing MAX Card,超33/超50,ドンドン火噴くナウ,Dondon Volcanic Now,Water/Fire/Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Dondon_Volcanic_Now,220,1.91,0
45,DueKing MAX Card,超34/超50,神徒メイプル-1,"Maple-1, Divine",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Maple-1,_Divine",180,1.57,0
46,DueKing MAX Card,超35/超50,特攻人形ジェニー,"Jenny, the Suicide Doll",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Jenny,_the_Suicide_Doll",80,0.7,0
47,DueKing MAX Card,超36/超50,SMAPON,Smapon,Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Smapon,80,0.7,0
48,DueKing MAX Card,超37/超50,月砂フロッガ-1,"Frogger-1, Moon Sand",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Frogger-1,_Moon_Sand",120,1.04,0
49,DueKing MAX Card,超38/超50,バッドドッグ・マニアクス,Baddog Maniac,Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Baddog_Maniac,420,3.65,0
50,DueKing MAX Card,超39/超50,獅子王の遺跡,Ruins of the Lion King,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Ruins_of_the_Lion_King,500,4.35,0
51,DueKing MAX Card,超40/超50,エボリューション・エッグ,Evolution Egg,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Evolution_Egg,420,3.65,0
52,DueKing MAX Card,超41/超50,妖精アジサイ－2,"Ajisai-2, Faerie",Water/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Ajisai-2,_Faerie",120,1.04,0
53,DueKing MAX Card,超42/超50,地龍神の魔陣,Earth Dragon God's Magic Encampment,Water/Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Earth_Dragon_God%27s_Magic_Encampment,420,3.65,0
54,DueKing MAX Card,超43/超50,影速ザ・トリッパー,"The Tripper, Shadow Speed",Darkness/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/The_Tripper,_Shadow_Speed",320,2.78,0
55,DueKing MAX Card,超44/超50,悪魔妖精ベラドンナ,"Belladonna, Demon Faerie",Darkness/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Belladonna,_Demon_Faerie",320,2.78,0
56,DueKing MAX Card,超45/超50,アクア・ベララー,Aqua Belala,Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Aqua_Belala,120,1.04,0
57,DueKing MAX Card,超46/超50,怒りの影ブラック・フェザー,"Black Feather, Shadow of Rage",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Black_Feather,_Shadow_of_Rage",120,1.04,0
58,DueKing MAX Card,超47/超50,ブラッディ・クロス,Bloody Cross,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/Bloody_Cross,120,1.04,0
59,DueKing MAX Card,超48/超50,巨大設計図,Huge Blueprint,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Huge_Blueprint,220,1.91,0
60,DueKing MAX Card,超49/超50,フェアリー・Re：ライフ,Faerie Re:Life,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Faerie_Re:Life,420,3.65,0
61,DueKing MAX Card,超50/超50,チャラ・ルピア,Chara Lupia,Light/Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Chara_Lupia,120,1.04,0
62,Victory Rare,1a/130,激沸騰! オンセン・ガロウズ,Intense Boiling! Onsen Gallows,Water/Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Intense_Boiling!_Onsen_Gallows,180,1.57,0
63,Victory Rare,1b/130,絶対絶命ガロウズ・ゴクドラゴン,"Gallows Hellish Dragon, Brink of Despair",Light/Water/Darkness/Fire/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Gallows_Hellish_Dragon,_Brink_of_Despair",180,1.57,0
64,Victory Rare,2a/130,滅殺刃ゴー・トゥ・ヘル,"Go To Hell, Annihilator Blade",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Go_To_Hell,_Annihilator_Blade",180,1.57,0
65,Victory Rare,2b/130,魔壊王デスシラズ,"Deathshiraz, Devil Corrupt King",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Deathshiraz,_Devil_Corrupt_King",180,1.57,0
66,Super Rare,3/130,パルフェル・トリセラティ,Parfer Triserati,Light,DM22-EX1,https://duelmasters.fandom.com/wiki/Parfer_Triserati,180,1.57,0
67,Super Rare,4/130,光霊姫アレフティナ,"Alephtina, Spiritual Princess",Light,DM22-EX1,"https://duelmasters.fandom.com/wiki/Alephtina,_Spiritual_Princess",500,4.35,0
68,Super Rare,5/130,甲型龍帝式キリコ,"Kiriko Cubic, First Model Dragon Emperor",Water,DM22-EX1,"https://duelmasters.fandom.com/wiki/Kiriko_Cubic,_First_Model_Dragon_Emperor",220,1.91,0
69,Super Rare,6/130,不夜城艦クランヴィア,"Clanvia, Night Castle Ship",Water,DM22-EX1,"https://duelmasters.fandom.com/wiki/Clanvia,_Night_Castle_Ship",180,1.57,0
70,Super Rare,7/130,超神星DOOM・ドラゲリオン,Supernova DOOM Dragerion,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/Supernova_DOOM_Dragerion,1780,15.49,0
71,Super Rare,8/130,「無月」の頂＄スザーク＄,"Zeni Szark $, Zenith of ""Moonless""",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Zeni_Szark_$,_Zenith_of_%22Moonless%22",680,5.92,0
72,Super Rare,9/130,ボルシャック・モモキング・クロスNEX,Bolshack Momoking Cross NEX,Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Bolshack_Momoking_Cross_NEX,220,1.91,0
73,Super Rare,10/130,キャンベロ <レッゾ.Star>,Canbello (Rezo Star),Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Canbello_(Rezo_Star),420,3.65,0
74,Super Rare,11/130,覇帝なき侵略レッドゾーンF,"Redzone Formula, Overlordless Invasion",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Redzone_Formula,_Overlordless_Invasion",1780,15.49,0
75,Super Rare,12/130,ボルベルグ・龍覇・ドラゴン,Bolberg Dragon Ruler Dragon,Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Bolberg_Dragon_Ruler_Dragon,500,4.35,0
76,Super Rare,13/130,龍星装者“B-我”ライザ,"Balga Raiser, Dragonic Meteor Armored",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Balga_Raiser,_Dragonic_Meteor_Armored",180,1.57,0
77,Super Rare,14/130,地龍仙ロマネアース,"Romanearth, Earth Dragon Wizard / Sacred Earth",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Romanearth,_Earth_Dragon_Wizard_/_Sacred_Earth",220,1.91,0
78,Super Rare,15/130,地封龍ギャイア,"Gyaia, Ground Seal Dragon",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Gyaia,_Ground_Seal_Dragon",780,6.79,0
79,Super Rare,16/130,「正義全帝」,Justice and Everything Else,Light/Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Justice_and_Everything_Else,320,2.78,0
80,Super Rare,17/130,仙界一の天才ミロク,"Miroku, Senkai's Greatest Genius",Light/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Miroku,_Senkai%27s_Greatest_Genius",180,1.57,0
81,Super Rare,18/130,龍素記号wDサイクルペディア,"WD Cyclepedia, Dragment Symbol",Water/Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/WD_Cyclepedia,_Dragment_Symbol",780,6.79,0
82,Super Rare,19/130,最終龍覇グレンモルト,"Glenmalt, Final Dragon Ruler",Light/Darkness/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Glenmalt,_Final_Dragon_Ruler",180,1.57,0
83,Super Rare,20/130,姫様宣言プリンプリン,"Prin Prin, Princess Rush",Water/Fire/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Prin_Prin,_Princess_Rush",180,1.57,0
84,Very Rare,21/130,神聖牙USパンク,"Ultra Special Punk, Shentury",Colourless,DM22-EX1,"https://duelmasters.fandom.com/wiki/Ultra_Special_Punk,_Shentury",120,1.04,0
85,Very Rare,22/130,偽りの王ナンバーナイン,Codeking Number Nine / Ode to Joy,Light,DM22-EX1,https://duelmasters.fandom.com/wiki/Codeking_Number_Nine_/_Ode_to_Joy,180,1.57,0
86,Very Rare,23/130,白騎士の聖霊王ℵHEAVEN,"Aleph HEAVEN, White Knight Lord of Spirits",Light,DM22-EX1,"https://duelmasters.fandom.com/wiki/Aleph_HEAVEN,_White_Knight_Lord_of_Spirits",120,1.04,0
87,Very Rare,24/130,聖霊王イカズチ,"Ikazuchi, Lord of Spirits",Light,DM22-EX1,"https://duelmasters.fandom.com/wiki/Ikazuchi,_Lord_of_Spirits",120,1.04,0
88,Very Rare,25/130,蒼狼の大王イザナギテラス,"Izanagiterasu, Great King of Blue Wolves",Water,DM22-EX1,"https://duelmasters.fandom.com/wiki/Izanagiterasu,_Great_King_of_Blue_Wolves",120,1.04,0
89,Very Rare,26/130,ネ申・ マニフェスト,Charisma Manifest,Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Charisma_Manifest,120,1.04,0
90,Very Rare,27/130,死神明王XENIA,"XENIA, the Reaper King",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/XENIA,_the_Reaper_King",120,1.04,0
91,Very Rare,28/130,「大蛇」の鬼ジャドク丸,"Jyadokumaru, Oni of ""Orochi""",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Jyadokumaru,_Oni_of_%22Orochi%22",120,1.04,0
92,Very Rare,29/130,オールデリート,All Delete,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/All_Delete,420,3.65,0
93,Very Rare,30/130,R.S.F.K.,Royal Straight Flush Kaiser / Allin Charger,Fire,DM22-EX1,https://duelmasters.fandom.com/wiki/Royal_Straight_Flush_Kaiser_/_Allin_Charger,500,4.35,0
94,Very Rare,31/130,“麗片禅”戦車バッドラマー,"Baddrummer, Repezen Tank",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Baddrummer,_Repezen_Tank",220,1.91,0
95,Very Rare,32/130,大爆龍ダイナボルト,"Dynabolt, Great Explosive Dragon",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Dynabolt,_Great_Explosive_Dragon",180,1.57,0
96,Very Rare,33/130,八頭龍ACE-Yamata,"ACE-Yamata, Eight-headed Dragon / Mystic Treasure Sword",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/ACE-Yamata,_Eight-headed_Dragon_/_Mystic_Treasure_Sword",420,3.65,0
97,Very Rare,34/130,龍装者ジスタジオ,"Geotajio, Dragon Armored",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Geotajio,_Dragon_Armored",220,1.91,0
98,Very Rare,35/130,幻想妖精カチュア,"Kachua, Keeper of the Icegate",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Kachua,_Keeper_of_the_Icegate",120,1.04,0
99,Very Rare,36/130,特級チューシ・シャオ・ハン,"Chusi Xiao Han, Special Grade",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Chusi_Xiao_Han,_Special_Grade",120,1.04,0
100,Very Rare,37/130,キユリのASMラジオ,Kiyuri's ASMRadio,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Kiyuri%27s_ASMRadio,420,3.65,0
101,Very Rare,38/130,アクア・スペルブルー,Aqua Spellblue / Invincible Aura,Light,DM22-EX1,https://duelmasters.fandom.com/wiki/Aqua_Spellblue_/_Invincible_Aura,320,2.78,0
102,Very Rare,39/130,「貪」の鬼バクロ法師,"Bakurohoshi, Oni of ""Musabori""",Darkness/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Bakurohoshi,_Oni_of_%22Musabori%22",120,1.04,0
103,Very Rare,40a/130,爆剣士グレンモルト剣,"Glenmalt Buster, Explosive Swordsman",Fire/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Glenmalt_Buster,_Explosive_Swordsman",120,1.04,0
104,Very Rare,40b/130,龍剣星王紅鬼勝,"Star King Red Oni Victory, Dragon Sword",Fire/Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Star_King_Red_Oni_Victory,_Dragon_Sword",120,1.04,0
105,Very Rare,41/130,覚醒連結XXDDZ,"Double Cross DD Zeta, Concatenated Awakened",Light/Darkness/Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Double_Cross_DD_Zeta,_Concatenated_Awakened",180,1.57,0
106,Very Rare,42/130,偽りの名スネーク,Codename Snake / Unknown Program,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/Codename_Snake_/_Unknown_Program,120,1.04,0
107,Rare,43/130,「武」の頂マキシマム・ザ・マックス,"Maximum the Max, Zenith of ""Military"" / Zenith Symphony, Secret Zenith",Colourless,DM22-EX1,"https://duelmasters.fandom.com/wiki/Maximum_the_Max,_Zenith_of_%22Military%22_/_Zenith_Symphony,_Secret_Zenith",120,1.04,0
108,Rare,44/130,霊騎コルテオ,"Corteo, Spirit Knight / Protection Circle",Light,DM22-EX1,"https://duelmasters.fandom.com/wiki/Corteo,_Spirit_Knight_/_Protection_Circle",80,0.7,0
109,Rare,45/130,スクリプト,Script,Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Script,80,0.7,0
110,Rare,46/130,「敬虔なる警官」,Piouspatrol Police,Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Piouspatrol_Police,80,0.7,0
111,Rare,47/130,キキの海幻,Kiki's Vision,Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Kiki%27s_Vision,120,1.04,0
112,Rare,48/130,俺神豚ブリタニア,"Britania, Enshenton / ""Katsuking, The Battle is Between You and Me!""",Darkness,DM22-EX1,"https://duelmasters.fandom.com/wiki/Britania,_Enshenton_/_%22Katsuking,_The_Battle_is_Between_You_and_Me!%22",220,1.91,0
113,Rare,49a/130,次元のイモータル・ブレード,Dimensional Immortal Blade,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/Dimensional_Immortal_Blade,80,0.7,0
114,Rare,49b/130,次元のノーブル・エンフォーサー,Dimensional Noble Enforcer,Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Dimensional_Noble_Enforcer,80,0.7,0
115,Rare,50/130,漂流大陸の復活,Rebirth of the Survivor,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/Rebirth_of_the_Survivor,120,1.04,0
116,Rare,51/130,熱血大帝カツカイザー,"Katsukaiser, Great Rage",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Katsukaiser,_Great_Rage",180,1.57,0
117,Rare,52/130,キャベッジ・セッションズ,Cabbage Sessions / Soilpimp Cabbage,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Cabbage_Sessions_/_Soilpimp_Cabbage,180,1.57,0
118,Rare,53/130,偽りの名13,Codename Thirteen / Pandora Impact,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Codename_Thirteen_/_Pandora_Impact,120,1.04,0
119,Rare,54/130,闘争類拳嘩目ステゴロ・カイザー,"Stegoro Kaiser, Struggling Battlekind / Purification Sharrup",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Stegoro_Kaiser,_Struggling_Battlekind_/_Purification_Sharrup",80,0.7,0
120,Rare,55/130,薔薇の使者,Rose Sorcerer / Pangaea's Song,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Rose_Sorcerer_/_Pangaea%27s_Song,80,0.7,0
121,Rare,56/130,コレンココ・タンク,Kolencoco Tank / Bonto Plantbo,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Kolencoco_Tank_/_Bonto_Plantbo,420,3.65,0
122,Rare,57/130,アイアンラビットンボ,Ironrabbitonbo,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Ironrabbitonbo,120,1.04,0
123,Rare,58/130,時空の庭園,Timeless Garden,Nature,DM22-EX1,https://duelmasters.fandom.com/wiki/Timeless_Garden,80,0.7,0
124,Rare,59/130,偽りの名iFormulaX,Codename iFormulaX / Christina Fall,Light,DM22-EX1,https://duelmasters.fandom.com/wiki/Codename_iFormulaX_/_Christina_Fall,120,1.04,0
125,Rare,60/130,オリジナル・サイン,Original Sign,Light/Water,DM22-EX1,https://duelmasters.fandom.com/wiki/Original_Sign,80,0.7,0
126,Rare,61/130,暴発秘宝ベンゾ,"Benzo, the Hidden Fury / Outburst of the Planetary Dragon",Light,DM22-EX1,"https://duelmasters.fandom.com/wiki/Benzo,_the_Hidden_Fury_/_Outburst_of_the_Planetary_Dragon",220,1.91,0
127,Rare,62/130,閃光の神官ヴェルベット,"Velvet, Flash Priest / Faerie Power",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Velvet,_Flash_Priest_/_Faerie_Power",80,0.7,0
128,Rare,63/130,星雲の精霊キルスティン,"Kilstine, Nebula Elemental / Mysterious Stone Pillars",Nature,DM22-EX1,"https://duelmasters.fandom.com/wiki/Kilstine,_Nebula_Elemental_/_Mysterious_Stone_Pillars",80,0.7,0
129,Rare,64/130,セブ・コアクマン,Cebu Aquman Jr. / Mind Reset,Darkness,DM22-EX1,https://duelmasters.fandom.com/wiki/Cebu_Aquman_Jr._/_Mind_Reset,120,1.04,0
130,Rare,65/130,戦武の無限ジャッキー,"Jackie, Infinity Dream / ""Our Dreams Will Never End!""",Fire,DM22-EX1,"https://duelmasters.fandom.com/wiki/Jackie,_Infinity_Dream_/_%22Our_Dreams_Will_Never_End!%22",80,0.7,0
131,Rare,66/130,キング・シビレアシダケ,King Poisonous Mushroom / Invincible Technology,Water,DM22-EX1,https://duelmasters.fandom.com/wiki/King_Poisonous_Mushroom_/_Invincible_Technology,80,0.7,0
