No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
1,Secret Cards,(秘)1a/(秘)6,飛翔龍5000VT,"5000VT, Flying V",Water,DM23-EX1,"https://duelmasters.fandom.com/wiki/5000VT,_Flying_V",5980,52.03,0
2,Secret Cards,(秘)1b/(秘)6,飛翔龍5000VT,"5000VT, Flying V",Water,DM23-EX1,"https://duelmasters.fandom.com/wiki/5000VT,_Flying_V",6980,60.73,0
3,Secret Cards,(秘)1超/(秘)6,飛翔龍5000VT,"5000VT, Flying V",Water,DM23-EX1,"https://duelmasters.fandom.com/wiki/5000VT,_Flying_V",59800,520.26,0
4,Secret Cards,(秘)2a/(秘)6,邪幽ジャガイスト,"Jagaist, Wicked Quiet",Darkness,DM23-EX1,"https://duelmasters.fandom.com/wiki/Jagaist,_Wicked_Quiet",780,6.79,0
5,Secret Cards,(秘)2b/(秘)6,邪幽ジャガイスト,"Jagaist, Wicked Quiet",Darkness,DM23-EX1,"https://duelmasters.fandom.com/wiki/Jagaist,_Wicked_Quiet",1280,11.14,0
6,Secret Cards,(秘)2超/(秘)6,邪幽ジャガイスト,"Jagaist, Wicked Quiet",Darkness,DM23-EX1,"https://duelmasters.fandom.com/wiki/Jagaist,_Wicked_Quiet",14800,128.76,0
7,Secret Cards,(秘)3a/(秘)6,ボルメテウス・武者・ドラゴン「武偉」,"Bolmeteus Musha Dragon ""V""",Fire,DM23-EX1,https://duelmasters.fandom.com/wiki/Bolmeteus_Musha_Dragon_%22V%22,780,6.79,0
8,Secret Cards,(秘)3b/(秘)6,ボルメテウス・武者・ドラゴン「武偉」,"Bolmeteus Musha Dragon ""V""",Fire,DM23-EX1,https://duelmasters.fandom.com/wiki/Bolmeteus_Musha_Dragon_%22V%22,1280,11.14,0
9,Secret Cards,(秘)3超/(秘)6,ボルメテウス・武者・ドラゴン「武偉」,"Bolmeteus Musha Dragon ""V""",Fire,DM23-EX1,https://duelmasters.fandom.com/wiki/Bolmeteus_Musha_Dragon_%22V%22,12800,111.36,0
10,Secret Cards,(秘)4a/(秘)6,機械神類ヨミ,"Yomi, Mecha Godkind",Light/Water/Darkness,DM23-EX1,"https://duelmasters.fandom.com/wiki/Yomi,_Mecha_Godkind",320,2.78,0
11,Secret Cards,(秘)4b/(秘)6,機械神類ヨミ,"Yomi, Mecha Godkind",Light/Water/Darkness,DM23-EX1,"https://duelmasters.fandom.com/wiki/Yomi,_Mecha_Godkind",780,6.79,0
12,Secret Cards,(秘)4超/(秘)6,機械神類ヨミ,"Yomi, Mecha Godkind",Light/Water/Darkness,DM23-EX1,"https://duelmasters.fandom.com/wiki/Yomi,_Mecha_Godkind",4980,43.33,0
13,Secret Cards,(秘)5a/(秘)6,「勝利」の頂カイザー「刃鬼」,"Kaiser ""Baki"", Zenith of ""Victory""",Water/Fire/Nature,DM23-EX1,"https://duelmasters.fandom.com/wiki/Kaiser_%22Baki%22,_Zenith_of_%22Victory%22",780,6.79,0
14,Secret Cards,(秘)5b/(秘)6,「勝利」の頂カイザー「刃鬼」,"Kaiser ""Baki"", Zenith of ""Victory""",Water/Fire/Nature,DM23-EX1,"https://duelmasters.fandom.com/wiki/Kaiser_%22Baki%22,_Zenith_of_%22Victory%22",1280,11.14,0
15,Secret Cards,(秘)5超/(秘)6,「勝利」の頂カイザー「刃鬼」,"Kaiser ""Baki"", Zenith of ""Victory""",Water/Fire/Nature,DM23-EX1,"https://duelmasters.fandom.com/wiki/Kaiser_%22Baki%22,_Zenith_of_%22Victory%22",12800,111.36,0
16,Secret Cards,(秘)6a/(秘)6,「色災」の頂カラーレス・レインボー,"Colorless Rainbow, Zenith of ""Color Disaster"" / Zenith Hazard",Light/Water/Darkness/Fire/Nature,DM23-EX1,"https://duelmasters.fandom.com/wiki/Colorless_Rainbow,_Zenith_of_%22Color_Disaster%22_/_Zenith_Hazard",220,1.91,0
17,Secret Cards,(秘)6b/(秘)6,「色災」の頂カラーレス・レインボー,"Colorless Rainbow, Zenith of ""Color Disaster"" / Zenith Hazard",Light/Water/Darkness/Fire/Nature,DM23-EX1,"https://duelmasters.fandom.com/wiki/Colorless_Rainbow,_Zenith_of_%22Color_Disaster%22_/_Zenith_Hazard",420,3.65,0
18,Secret Cards,(秘)6超/(秘)6,「色災」の頂カラーレス・レインボー,"Colorless Rainbow, Zenith of ""Color Disaster"" / Zenith Hazard",Light/Water/Darkness/Fire/Nature,DM23-EX1,"https://duelmasters.fandom.com/wiki/Colorless_Rainbow,_Zenith_of_%22Color_Disaster%22_/_Zenith_Hazard",4980,43.33,0
19,Victory Rare,1/84,「必勝」の頂カイザー「刃鬼」,"Kaiser ""Baki"", Zenith of ""Certain Victory""",Colourless,DM23-EX1,"https://duelmasters.fandom.com/wiki/Kaiser_%22Baki%22,_Zenith_of_%22Certain_Victory%22",180,1.57,0
20,Victory Rare,2/84,無法神類G・イズモ,"God Izumo, Lawless Godkind",Light,DM23-EX1,"https://duelmasters.fandom.com/wiki/God_Izumo,_Lawless_Godkind",180,1.57,0
21,Victory Rare,3/84,飛翔龍5000VT,"5000VT, Flying V",Water,DM23-EX1,"https://duelmasters.fandom.com/wiki/5000VT,_Flying_V",5480,47.68,0
22,Victory Rare,4/84,邪幽ジャガイスト,"Jagaist, Wicked Quiet",Darkness,DM23-EX1,"https://duelmasters.fandom.com/wiki/Jagaist,_Wicked_Quiet",220,1.91,0
23,Victory Rare,5/84,ボルメテウス・武者・ドラゴン「武偉」,"Bolmeteus Musha Dragon ""V""",Fire,DM23-EX1,https://duelmasters.fandom.com/wiki/Bolmeteus_Musha_Dragon_%22V%22,320,2.78,0
24,Victory Rare,6/84,機械神類ヨミ,"Yomi, Mecha Godkind",Light/Water/Darkness,DM23-EX1,"https://duelmasters.fandom.com/wiki/Yomi,_Mecha_Godkind",220,1.91,0
